I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.019,0.085,0.064,,,,,,,,,
0.011,0.078,0.067,,,,,,,,,
0.019,0.084,0.065,,,,,,,,,
0.024,0.088,0.063,,,,,,,,,
0.02,0.085,0.064,,,,,,,,,
0.016,0.082,0.065,,,,,,,,,
0.019,0.084,0.065,,,,,,,,,
0.022,0.086,0.064,,,,,,,,,
0.02,0.085,0.064,,,,,,,,,
0.018,0.083,0.065,,,,,,,,,
0.019,0.084,0.064,,,,,,,,,
0.02,0.086,0.065,,,,,,,,,
0.019,0.085,0.066,,,,,,,,,
0.019,0.083,0.064,,,,,,,,,
0.023,0.083,0.06,,,,,,,,,
0.029,0.088,0.058,,,,,,,,,
0.031,0.097,0.064,,,,,,,,,
0.032,0.108,0.076,,,,,,,,,
0.034,0.119,0.085,,,,,,,,,
0.039,0.125,0.086,,,,,,,,,
0.043,0.125,0.082,,,,,,,,,
0.045,0.124,0.078,,,,,,,,,
0.047,0.124,0.076,,,,,,,,,
0.05,0.125,0.075,,,,,,,,,
0.052,0.125,0.073,,,,,,,,,
0.053,0.124,0.071,,,,,,,,,
0.054,0.124,0.069,,,,,,,,,
0.055,0.125,0.07,,,,,,,,,
0.055,0.125,0.07,,,,,,,,,
0.055,0.124,0.069,,,,,,,,,
0.057,0.124,0.067,,,,,,,,,
0.061,0.125,0.064,,,,,,,,,
0.064,0.125,0.062,,,,,,,,,
0.064,0.124,0.06,,,,,,,,,
0.064,0.123,0.06,,,,,,,,,
0.064,0.124,0.059,,,,,,,,,
0.065,0.125,0.059,,,,,,,,,
0.068,0.127,0.058,,,,,,,,,
0.072,0.128,0.056,,,,,,,,,
0.077,0.13,0.053,,,,,,,,,
0.079,0.13,0.051,,,,,,,,,
0.079,0.13,0.05,,,,,,,,,
0.08,0.129,0.049,,,,,,,,,
0.08,0.129,0.048,,,,,,,,,
0.08,0.13,0.05,,,,,,,,,
0.077,0.13,0.052,,,,,,,,,
0.074,0.129,0.055,,,,,,,,,
0.073,0.129,0.056,,,,,,,,,
0.074,0.13,0.055,,,,,,,,,
0.074,0.13,0.055,,,,,,,,,
0.075,0.13,0.054,,,,,,,,,
0.075,0.13,0.055,,,,,,,,,
0.074,0.129,0.054,,,,,,,,,
0.073,0.128,0.054,,,,,,,,,
0.074,0.129,0.055,,,,,,,,,
0.077,0.132,0.055,,,,,,,,,
0.08,0.135,0.054,,,,,,,,,
0.079,0.134,0.054,,,,,,,,,
0.077,0.132,0.055,,,,,,,,,
0.074,0.129,0.055,,,,,,,,,
0.073,0.128,0.056,,,,,,,,,
0.071,0.129,0.058,,,,,,,,,
0.068,0.13,0.061,,,,,,,,,
0.066,0.13,0.063,,,,,,,,,
0.065,0.129,0.064,,,,,,,,,
0.063,0.129,0.066,,,,,,,,,
0.06,0.13,0.068,,,,,,,,,
0.058,0.13,0.07,,,,,,,,,
0.057,0.129,0.071,,,,,,,,,
0.055,0.13,0.073,,,,,,,,,
0.051,0.131,0.078,,,,,,,,,
0.047,0.131,0.083,,,,,,,,,
0.044,0.128,0.084,,,,,,,,,
0.04,0.121,0.081,,,,,,,,,
0.036,0.112,0.076,,,,,,,,,
0.033,0.104,0.072,,,,,,,,,
0.031,0.099,0.068,,,,,,,,,
0.03,0.094,0.064,,,,,,,,,
0.027,0.088,0.06,,,,,,,,,
0.025,0.082,0.056,,,,,,,,,
0.023,0.076,0.052,,,,,,,,,
0.021,0.07,0.048,,,,,,,,,
0.019,0.064,0.044,,,,,,,,,
0.019,0.06,0.04,,,,,,,,,
0.019,0.057,0.037,,,,,,,,,
0.019,0.053,0.034,,,,,,,,,
0.017,0.049,0.032,,,,,,,,,
0.014,0.045,0.03,,,,,,,,,
0.013,0.041,0.028,,,,,,,,,
0.011,0.037,0.026,,,,,,,,,
0.008,0.033,0.025,,,,,,,,,
0.004,0.029,0.025,,,,,,,,,
0.0,0.025,0.025,,,,,,,,,
-0.001,0.022,0.023,,,,,,,,,
-0.003,0.018,0.021,,,,,,,,,
-0.006,0.014,0.019,,,,,,,,,
-0.009,0.01,0.018,,,,,,,,,
-0.013,0.006,0.019,,,,,,,,,
-0.016,0.003,0.02,,,,,,,,,
-0.019,0.0,0.021,,,,,,,,,
-0.019,0.0,0.019,,,,,,,,,
-0.017,0.0,0.017,,,,,,,,,
-0.015,0.0,0.015,,,,,,,,,
-0.015,0.0,0.014,,,,,,,,,
-0.018,-0.002,0.015,,,,,,,,,
-0.02,-0.004,0.014,,,,,,,,,
-0.018,-0.005,0.013,,,,,,,,,
-0.016,-0.004,0.011,,,,,,,,,
-0.015,-0.005,0.009,,,,,,,,,
-0.017,-0.007,0.008,,,,,,,,,
-0.019,-0.009,0.009,,,,,,,,,
-0.019,-0.009,0.01,,,,,,,,,
-0.019,-0.008,0.01,,,,,,,,,
-0.02,-0.011,0.009,,,,,,,,,
-0.028,-0.02,0.007,,,,,,,,,
-0.04,-0.035,0.005,,,,,,,,,
-0.055,-0.051,0.004,,,,,,,,,
-0.068,-0.063,0.005,,,,,,,,,
-0.074,-0.069,0.005,,,,,,,,,
-0.073,-0.068,0.004,,,,,,,,,
-0.067,-0.063,0.004,,,,,,,,,
-0.061,-0.056,0.005,,,,,,,,,
-0.058,-0.052,0.005,,,,,,,,,
-0.054,-0.049,0.004,,,,,,,,,
-0.05,-0.046,0.003,,,,,,,,,
-0.043,-0.042,0.001,,,,,,,,,
-0.037,-0.037,0.0,,,,,,,,,
-0.033,-0.034,0.0,,,,,,,,,
-0.03,-0.03,0.0,,,,,,,,,
-0.026,-0.026,0.0,,,,,,,,,
-0.022,-0.022,0.0,,,,,,,,,
-0.018,-0.018,0.0,,,,,,,,,
-0.014,-0.014,0.0,,,,,,,,,
-0.01,-0.01,0.0,,,,,,,,,
-0.009,-0.008,0.0,,,,,,,,,
-0.009,-0.009,0.0,,,,,,,,,
-0.01,-0.01,0.0,,,,,,,,,
-0.008,-0.01,-0.002,,,,,,,,,
-0.005,-0.009,-0.004,,,,,,,,,
-0.003,-0.009,-0.005,,,,,,,,,
-0.004,-0.01,-0.005,,,,,,,,,
-0.005,-0.01,-0.005,,,,,,,,,
-0.004,-0.009,-0.004,,,,,,,,,
-0.004,-0.009,-0.004,,,,,,,,,
-0.005,-0.01,-0.005,,,,,,,,,
-0.005,-0.01,-0.005,,,,,,,,,
-0.004,-0.009,-0.004,,,,,,,,,
-0.004,-0.008,-0.004,,,,,,,,,
-0.005,-0.009,-0.004,,,,,,,,,
-0.005,-0.012,-0.006,,,,,,,,,
-0.006,-0.016,-0.01,,,,,,,,,
-0.009,-0.023,-0.014,,,,,,,,,
-0.013,-0.029,-0.016,,,,,,,,,
-0.017,-0.035,-0.018,,,,,,,,,
-0.02,-0.041,-0.02,,,,,,,,,
-0.023,-0.048,-0.024,,,,,,,,,
-0.025,-0.053,-0.028,,,,,,,,,
-0.025,-0.057,-0.031,,,,,,,,,
-0.027,-0.06,-0.033,,,,,,,,,
-0.037,-0.072,-0.035,,,,,,,,,
-0.055,-0.094,-0.039,,,,,,,,,
-0.073,-0.117,-0.043,,,,,,,,,
-0.084,-0.131,-0.047,,,,,,,,,
-0.086,-0.136,-0.049,,,,,,,,,
-0.089,-0.139,-0.049,,,,,,,,,
-0.099,-0.147,-0.048,,,,,,,,,
-0.111,-0.156,-0.046,,,,,,,,,
-0.116,-0.159,-0.044,,,,,,,,,
-0.112,-0.156,-0.044,,,,,,,,,
-0.105,-0.15,-0.045,,,,,,,,,
-0.1,-0.146,-0.045,,,,,,,,,
-0.097,-0.143,-0.044,,,,,,,,,
-0.094,-0.139,-0.044,,,,,,,,,
-0.088,-0.133,-0.045,,,,,,,,,
-0.085,-0.13,-0.045,,,,,,,,,
-0.085,-0.13,-0.044,,,,,,,,,
-0.084,-0.128,-0.043,,,,,,,,,
-0.071,-0.116,-0.045,,,,,,,,,
-0.045,-0.092,-0.047,,,,,,,,,
-0.018,-0.064,-0.046,,,,,,,,,
-0.003,-0.041,-0.038,,,,,,,,,
0.002,-0.021,-0.024,,,,,,,,,
0.016,0.007,-0.009,,,,,,,,,
0.047,0.051,0.003,,,,,,,,,
0.082,0.099,0.016,,,,,,,,,
0.101,0.136,0.035,,,,,,,,,
0.099,0.162,0.063,,,,,,,,,
0.09,0.193,0.102,,,,,,,,,
0.088,0.238,0.15,,,,,,,,,
0.095,0.295,0.199,,,,,,,,,
0.105,0.35,0.246,,,,,,,,,
0.112,0.4,0.288,,,,,,,,,
0.117,0.449,0.332,,,,,,,,,
0.121,0.503,0.381,,,,,,,,,
0.123,0.557,0.433,,,,,,,,,
0.126,0.606,0.48,,,,,,,,,
0.138,0.651,0.513,,,,,,,,,
0.168,0.693,0.524,,,,,,,,,
0.215,0.731,0.515,,,,,,,,,
0.267,0.76,0.493,,,,,,,,,
